hour,timestamp,avg_voltage,avg_current,avg_power,energy_kwh,samples,hour_of_day,day_of_week,is_weekend
2009-03-06_08,1236326400,238.81,6.71,1.605,1.605,60,8,4,0
2009-03-06_09,1236330000,239.58,6.1,1.465,1.465,60,9,4,0
2009-03-06_10,1236333600,238.33,6.01,1.432,1.432,60,10,4,0
2009-03-06_11,1236337200,237.47,5.09,1.17,1.17,60,11,4,0
2009-03-06_12,1236340800,239.29,3.63,0.762,0.762,60,12,4,0
2009-03-06_13,1236344400,238.97,3.47,0.729,0.729,60,13,4,0
2009-03-06_14,1236348000,242.15,6.24,1.443,1.443,60,14,4,0
2009-03-06_15,1236351600,242.54,6.93,1.656,1.656,60,15,4,0
2009-03-06_16,1236355200,241.07,6.68,1.598,1.598,60,16,4,0
2009-03-06_17,1236358800,237.12,5.85,1.4,1.4,60,17,4,0
2009-03-06_18,1236362400,237.04,5.07,1.213,1.213,60,18,4,0
2009-03-06_19,1236366000,238.05,7.61,1.807,1.807,60,19,4,0
2009-03-06_20,1236369600,239.34,14.14,3.376,3.376,60,20,4,0
2009-03-06_21,1236373200,241.48,9.05,2.181,2.181,60,21,4,0
2009-03-06_22,1236376800,241.57,4.11,0.964,0.964,60,22,4,0
2009-03-06_23,1236380400,243.33,1.51,0.337,0.337,60,23,4,0
2009-03-07_00,1236384000,244.36,1.44,0.32,0.32,60,0,5,1
2009-03-07_01,1236387600,244.01,3.59,0.867,0.867,60,1,5,1
2009-03-07_02,1236391200,247.34,1.41,0.325,0.325,60,2,5,1
2009-03-07_03,1236394800,247.88,1.38,0.32,0.32,60,3,5,1
2009-03-07_04,1236398400,246.8,1.55,0.35,0.35,60,4,5,1
2009-03-07_05,1236402000,244.99,1.4,0.321,0.321,60,5,5,1
2009-03-07_06,1236405600,242.8,4.69,1.1,1.1,60,6,5,1
2009-03-07_07,1236409200,241.41,7.89,1.895,1.895,60,7,5,1
2009-03-07_08,1236412800,241.44,7.01,1.706,1.706,60,8,5,1
2009-03-07_09,1236416400,239.73,5.82,1.406,1.406,60,9,5,1
2009-03-07_10,1236420000,237.27,5.66,1.353,1.353,60,10,5,1
2009-03-07_11,1236423600,239.64,2.55,0.592,0.592,60,11,5,1
2009-03-07_12,1236427200,241.24,4.59,1.074,1.074,60,12,5,1
2009-03-07_13,1236430800,242.64,4.14,0.975,0.975,60,13,5,1
2009-03-07_14,1236434400,241.31,6.32,1.537,1.537,60,14,5,1
2009-03-07_15,1236438000,242.87,6.22,1.508,1.508,60,15,5,1
2009-03-07_16,1236441600,242.43,6.14,1.495,1.495,60,16,5,1
2009-03-07_17,1236445200,239.21,11.19,2.638,2.638,60,17,5,1
2009-03-07_18,1236448800,238.04,11.19,2.671,2.671,60,18,5,1
2009-03-07_19,1236452400,238.26,10.3,2.457,2.457,60,19,5,1
2009-03-07_20,1236456000,242.54,6.44,1.568,1.568,60,20,5,1
2009-03-07_21,1236459600,242.19,3.63,0.872,0.872,60,21,5,1
2009-03-07_22,1236463200,244.96,1.91,0.45,0.45,60,22,5,1
2009-03-07_23,1236466800,245.96,2.02,0.474,0.474,60,23,5,1
2009-03-08_00,1236470400,244.24,1.84,0.427,0.427,60,0,6,1
2009-03-08_01,1236474000,243.55,2.43,0.565,0.565,60,1,6,1
2009-03-08_02,1236477600,245.97,1.55,0.364,0.364,60,2,6,1
2009-03-08_03,1236481200,245.34,1.15,0.281,0.281,60,3,6,1
2009-03-08_04,1236484800,244.94,3.68,0.897,0.897,60,4,6,1
2009-03-08_05,1236488400,245.43,2.32,0.572,0.572,60,5,6,1
2009-03-08_06,1236492000,244.17,1.3,0.307,0.307,60,6,6,1
2009-03-08_07,1236495600,243.3,1.78,0.426,0.426,60,7,6,1
2009-03-08_08,1236499200,243.88,2.0,0.441,0.441,60,8,6,1
2009-03-08_09,1236502800,240.84,8.78,2.079,2.079,60,9,6,1
2009-03-08_10,1236506400,237.78,12.16,2.872,2.872,60,10,6,1
2009-03-08_11,1236510000,235.84,17.43,4.053,4.053,60,11,6,1
2009-03-08_12,1236513600,238.45,14.43,3.393,3.393,60,12,6,1
2009-03-08_13,1236517200,242.4,6.83,1.643,1.643,60,13,6,1
2009-03-08_14,1236520800,243.67,9.48,2.283,2.283,60,14,6,1
2009-03-08_15,1236524400,244.07,7.84,1.916,1.916,60,15,6,1
2009-03-08_16,1236528000,243.96,8.85,2.159,2.159,60,16,6,1
2009-03-08_17,1236531600,239.59,10.14,2.42,2.42,60,17,6,1
2009-03-08_18,1236535200,237.0,14.45,3.415,3.415,60,18,6,1
2009-03-08_19,1236538800,239.96,6.66,1.601,1.601,60,19,6,1
2009-03-08_20,1236542400,241.3,4.6,1.095,1.095,60,20,6,1
2009-03-08_21,1236546000,238.7,16.15,3.85,3.85,60,21,6,1
2009-03-08_22,1236549600,241.92,7.8,1.863,1.863,60,22,6,1
2009-03-08_23,1236553200,245.52,1.52,0.363,0.363,60,23,6,1
2009-03-09_00,1236556800,247.0,1.49,0.344,0.344,60,0,0,0
2009-03-09_01,1236560400,244.42,1.32,0.311,0.311,60,1,0,0
2009-03-09_02,1236564000,245.31,1.35,0.312,0.312,60,2,0,0
2009-03-09_03,1236567600,244.12,1.3,0.302,0.302,60,3,0,0
2009-03-09_04,1236571200,243.25,1.24,0.292,0.292,60,4,0,0
2009-03-09_05,1236574800,242.45,2.99,0.707,0.707,60,5,0,0
2009-03-09_06,1236578400,244.28,4.17,0.992,0.992,60,6,0,0
2009-03-09_07,1236582000,242.68,8.93,2.174,2.174,60,7,0,0
2009-03-09_08,1236585600,239.05,5.65,1.364,1.364,60,8,0,0
2009-03-09_09,1236589200,239.98,5.53,1.343,1.343,60,9,0,0
2009-03-09_10,1236592800,242.38,5.76,1.412,1.412,60,10,0,0
2009-03-09_11,1236596400,240.91,6.68,1.607,1.607,60,11,0,0
2009-03-09_12,1236600000,241.63,7.31,1.753,1.753,60,12,0,0
2009-03-09_13,1236603600,244.44,7.2,1.751,1.751,60,13,0,0
2009-03-09_14,1236607200,243.83,10.3,2.495,2.495,60,14,0,0
2009-03-09_15,1236610800,245.16,2.5,0.574,0.574,60,15,0,0
2009-03-09_16,1236614400,242.59,1.76,0.39,0.39,60,16,0,0
2009-03-09_17,1236618000,239.76,2.87,0.626,0.626,60,17,0,0
2009-03-09_18,1236621600,240.59,2.66,0.582,0.582,60,18,0,0
2009-03-09_19,1236625200,240.64,7.48,1.805,1.805,60,19,0,0
2009-03-09_20,1236628800,238.61,10.76,2.564,2.564,60,20,0,0
2009-03-09_21,1236632400,238.85,10.17,2.419,2.419,60,21,0,0
2009-03-09_22,1236636000,242.88,3.77,0.891,0.891,60,22,0,0
2009-03-09_23,1236639600,244.78,4.52,1.084,1.084,60,23,0,0
2009-03-10_00,1236643200,244.03,1.46,0.33,0.33,60,0,1,0
2009-03-10_01,1236646800,243.86,1.58,0.36,0.36,60,1,1,0
2009-03-10_02,1236650400,246.77,1.4,0.329,0.329,60,2,1,0
2009-03-10_03,1236654000,243.42,4.48,1.085,1.085,60,3,1,0
2009-03-10_04,1236657600,244.28,1.57,0.351,0.351,60,4,1,0
2009-03-10_05,1236661200,243.21,1.42,0.33,0.33,60,5,1,0
2009-03-10_06,1236664800,241.57,4.81,1.138,1.138,60,6,1,0
2009-03-10_07,1236668400,238.83,12.36,2.954,2.954,60,7,1,0
2009-03-10_08,1236672000,239.3,7.93,1.804,1.804,60,8,1,0
2009-03-10_09,1236675600,237.99,7.04,1.668,1.668,60,9,1,0
2009-03-10_10,1236679200,238.72,7.77,1.862,1.862,60,10,1,0
2009-03-10_11,1236682800,239.64,6.01,1.444,1.444,60,11,1,0
2009-03-10_12,1236686400,241.94,6.45,1.568,1.568,60,12,1,0
2009-03-10_13,1236690000,240.62,6.34,1.529,1.529,60,13,1,0
2009-03-10_14,1236693600,242.17,6.3,1.535,1.535,60,14,1,0
2009-03-10_15,1236697200,243.72,6.14,1.505,1.505,60,15,1,0
2009-03-10_16,1236700800,245.17,2.23,0.52,0.52,60,16,1,0
2009-03-10_17,1236704400,243.75,2.41,0.57,0.57,60,17,1,0
2009-03-10_18,1236708000,242.23,4.29,1.042,1.042,60,18,1,0
2009-03-10_19,1236711600,239.01,7.11,1.692,1.692,60,19,1,0
2009-03-10_20,1236715200,240.94,5.97,1.428,1.428,60,20,1,0
2009-03-10_21,1236718800,240.73,7.76,1.86,1.86,60,21,1,0
2009-03-10_22,1236722400,240.39,7.46,1.798,1.798,60,22,1,0
2009-03-10_23,1236726000,241.6,7.86,1.901,1.901,60,23,1,0
2009-03-11_00,1236729600,243.14,4.5,1.086,1.086,60,0,2,0
2009-03-11_01,1236733200,242.54,4.05,0.961,0.961,60,1,2,0
2009-03-11_02,1236736800,245.03,4.27,1.028,1.028,60,2,2,0
2009-03-11_03,1236740400,243.95,4.27,1.014,1.014,60,3,2,0
2009-03-11_04,1236744000,243.83,3.61,0.86,0.86,60,4,2,0
2009-03-11_05,1236747600,243.35,4.23,1.007,1.007,60,5,2,0
2009-03-11_06,1236751200,241.23,7.47,1.767,1.767,60,6,2,0
2009-03-11_07,1236754800,239.14,12.16,2.907,2.907,60,7,2,0
2009-03-11_08,1236758400,239.18,9.0,2.147,2.147,60,8,2,0
2009-03-11_09,1236762000,239.0,8.77,2.094,2.094,60,9,2,0
2009-03-11_10,1236765600,243.07,6.97,1.675,1.675,60,10,2,0
2009-03-11_11,1236769200,240.23,13.69,3.249,3.249,60,11,2,0
2009-03-11_12,1236772800,244.35,7.02,1.704,1.704,60,12,2,0
2009-03-11_13,1236776400,243.19,5.71,1.395,1.395,60,13,2,0
2009-03-11_14,1236780000,242.41,13.8,3.327,3.327,60,14,2,0
2009-03-11_15,1236783600,244.69,8.34,2.005,2.005,60,15,2,0
2009-03-11_16,1236787200,244.14,3.12,0.741,0.741,60,16,2,0
2009-03-11_17,1236790800,241.33,8.36,1.96,1.96,60,17,2,0
2009-03-11_18,1236794400,239.38,7.64,1.754,1.754,60,18,2,0
2009-03-11_19,1236798000,239.34,4.07,0.949,0.949,60,19,2,0
2009-03-11_20,1236801600,239.78,6.37,1.487,1.487,60,20,2,0
2009-03-11_21,1236805200,236.1,15.13,3.551,3.551,60,21,2,0
2009-03-11_22,1236808800,240.71,4.54,1.071,1.071,60,22,2,0
2009-03-11_23,1236812400,244.62,1.59,0.359,0.359,60,23,2,0
2009-03-12_00,1236816000,243.8,1.24,0.292,0.292,60,0,3,0
2009-03-12_01,1236819600,242.56,1.33,0.305,0.305,60,1,3,0
2009-03-12_02,1236823200,243.63,1.26,0.296,0.296,60,2,3,0
2009-03-12_03,1236826800,243.43,1.36,0.312,0.312,60,3,3,0
2009-03-12_04,1236830400,242.89,1.15,0.273,0.273,60,4,3,0
2009-03-12_05,1236834000,242.15,3.81,0.921,0.921,60,5,3,0
2009-03-12_06,1236837600,241.41,6.57,1.573,1.573,60,6,3,0
2009-03-12_07,1236841200,239.2,13.3,3.175,3.175,60,7,3,0
2009-03-12_08,1236844800,238.7,8.0,1.925,1.925,60,8,3,0
2009-03-12_09,1236848400,238.33,7.62,1.832,1.832,60,9,3,0
2009-03-12_10,1236852000,237.0,7.74,1.848,1.848,60,10,3,0
2009-03-12_11,1236855600,239.31,8.19,1.955,1.955,60,11,3,0
2009-03-12_12,1236859200,241.68,6.19,1.505,1.505,60,12,3,0
2009-03-12_13,1236862800,241.41,7.12,1.717,1.717,60,13,3,0
2009-03-12_14,1236866400,243.07,7.93,1.902,1.902,60,14,3,0
2009-03-12_15,1236870000,244.56,7.61,1.843,1.843,60,15,3,0
2009-03-12_16,1236873600,244.81,7.2,1.748,1.748,60,16,3,0
2009-03-12_17,1236877200,244.21,4.83,1.182,1.182,60,17,3,0
2009-03-12_18,1236880800,242.98,2.79,0.663,0.663,60,18,3,0
2009-03-12_19,1236884400,239.68,7.38,1.761,1.761,60,19,3,0
2009-03-12_20,1236888000,240.5,7.98,1.932,1.932,60,20,3,0
2009-03-12_21,1236891600,240.98,6.94,1.685,1.685,60,21,3,0
2009-03-12_22,1236895200,244.06,2.24,0.532,0.532,60,22,3,0
2009-03-12_23,1236898800,247.6,1.18,0.279,0.279,60,23,3,0
2009-03-13_00,1236902400,244.43,1.17,0.281,0.281,60,0,4,0
2009-03-13_01,1236906000,247.1,1.32,0.313,0.313,60,1,4,0
2009-03-13_02,1236909600,248.28,1.21,0.277,0.277,60,2,4,0
2009-03-13_03,1236913200,245.91,2.71,0.661,0.661,60,3,4,0
2009-03-13_04,1236916800,244.68,2.76,0.672,0.672,60,4,4,0
2009-03-13_05,1236920400,244.68,1.18,0.284,0.284,60,5,4,0
2009-03-13_06,1236924000,243.99,5.75,1.375,1.375,60,6,4,0
2009-03-13_07,1236927600,242.29,9.22,2.242,2.242,60,7,4,0
2009-03-13_08,1236931200,239.84,5.96,1.442,1.442,60,8,4,0
2009-03-13_09,1236934800,239.91,5.46,1.327,1.327,60,9,4,0
2009-03-13_10,1236938400,239.53,5.51,1.339,1.339,60,10,4,0
2009-03-13_11,1236942000,239.61,5.35,1.3,1.3,60,11,4,0
2009-03-13_12,1236945600,240.49,1.23,0.295,0.295,60,12,4,0
2009-03-13_13,1236949200,241.7,2.77,0.632,0.632,60,13,4,0
2009-03-13_14,1236952800,243.6,3.59,0.853,0.853,60,14,4,0
2009-03-13_15,1236956400,245.35,1.9,0.421,0.421,60,15,4,0
2009-03-13_16,1236960000,244.19,4.1,0.971,0.971,60,16,4,0
2009-03-13_17,1236963600,242.91,5.72,1.4,1.4,60,17,4,0
2009-03-13_18,1236967200,239.55,6.21,1.494,1.494,60,18,4,0
2009-03-13_19,1236970800,238.61,5.35,1.281,1.281,60,19,4,0
2009-03-13_20,1236974400,240.15,7.42,1.78,1.78,60,20,4,0
2009-03-13_21,1236978000,241.31,6.56,1.589,1.589,60,21,4,0
2009-03-13_22,1236981600,242.97,6.34,1.55,1.55,60,22,4,0
2009-03-13_23,1236985200,245.11,1.31,0.312,0.312,60,23,4,0
2009-03-14_00,1236988800,244.3,1.2,0.284,0.284,60,0,5,1
2009-03-14_01,1236992400,242.4,1.25,0.296,0.296,60,1,5,1
2009-03-14_02,1236996000,244.4,1.09,0.267,0.267,60,2,5,1
2009-03-14_03,1236999600,243.38,1.15,0.277,0.277,60,3,5,1
2009-03-14_04,1237003200,244.08,1.32,0.305,0.305,60,4,5,1
2009-03-14_05,1237006800,243.26,3.37,0.822,0.822,60,5,5,1
2009-03-14_06,1237010400,243.43,1.69,0.392,0.392,60,6,5,1
2009-03-14_07,1237014000,240.54,8.03,1.928,1.928,60,7,5,1
2009-03-14_08,1237017600,241.49,7.83,1.905,1.905,60,8,5,1
2009-03-14_09,1237021200,242.85,6.25,1.521,1.521,60,9,5,1
2009-03-14_10,1237024800,241.25,8.58,2.072,2.072,60,10,5,1
2009-03-14_11,1237028400,242.2,7.43,1.782,1.782,60,11,5,1
2009-03-14_12,1237032000,241.74,6.34,1.526,1.526,60,12,5,1
2009-03-14_13,1237035600,244.22,5.88,1.444,1.444,60,13,5,1
2009-03-14_14,1237039200,245.03,5.85,1.439,1.439,60,14,5,1
2009-03-14_15,1237042800,244.68,5.72,1.41,1.41,60,15,5,1
2009-03-14_16,1237046400,246.71,4.58,1.117,1.117,60,16,5,1
2009-03-14_17,1237050000,241.12,4.48,1.083,1.083,60,17,5,1
2009-03-14_18,1237053600,235.87,10.52,2.49,2.49,60,18,5,1
2009-03-14_19,1237057200,238.94,10.6,2.54,2.54,60,19,5,1
2009-03-14_20,1237060800,239.01,10.33,2.49,2.49,60,20,5,1
2009-03-14_21,1237064400,239.65,10.7,2.567,2.567,60,21,5,1
2009-03-14_22,1237068000,239.7,12.34,2.972,2.972,60,22,5,1
2009-03-14_23,1237071600,242.03,11.93,2.89,2.89,60,23,5,1
2009-03-15_00,1237075200,241.52,7.0,1.689,1.689,60,0,6,1
2009-03-15_01,1237078800,240.84,6.33,1.538,1.538,60,1,6,1
2009-03-15_02,1237082400,243.77,6.16,1.499,1.499,60,2,6,1
2009-03-15_03,1237086000,244.07,1.54,0.357,0.357,60,3,6,1
2009-03-15_04,1237089600,243.19,1.21,0.28,0.28,60,4,6,1
2009-03-15_05,1237093200,243.0,1.25,0.295,0.295,60,5,6,1
2009-03-15_06,1237096800,243.31,1.13,0.268,0.268,60,6,6,1
2009-03-15_07,1237100400,242.63,1.7,0.373,0.373,60,7,6,1
2009-03-15_08,1237104000,241.27,6.98,1.661,1.661,60,8,6,1
2009-03-15_09,1237107600,238.24,14.21,3.329,3.329,60,9,6,1
2009-03-15_10,1237111200,239.64,6.54,1.526,1.526,60,10,6,1
2009-03-15_11,1237114800,241.5,5.39,1.275,1.275,60,11,6,1
2009-03-15_12,1237118400,242.18,6.9,1.618,1.618,60,12,6,1
2009-03-15_13,1237122000,244.05,3.37,0.811,0.811,60,13,6,1
2009-03-15_14,1237125600,241.24,11.06,2.635,2.635,60,14,6,1
2009-03-15_15,1237129200,241.94,5.82,1.371,1.371,60,15,6,1
2009-03-15_16,1237132800,244.16,2.25,0.483,0.483,60,16,6,1
2009-03-15_17,1237136400,241.96,6.22,1.429,1.429,60,17,6,1
2009-03-15_18,1237140000,241.29,2.66,0.594,0.594,60,18,6,1
2009-03-15_19,1237143600,236.68,9.5,2.233,2.233,60,19,6,1
2009-03-15_20,1237147200,239.7,6.54,1.564,1.564,60,20,6,1
2009-03-15_21,1237150800,240.09,6.33,1.521,1.521,60,21,6,1
2009-03-15_22,1237154400,241.1,11.37,2.749,2.749,60,22,6,1
2009-03-15_23,1237158000,245.13,5.26,1.269,1.269,60,23,6,1
2009-03-16_00,1237161600,244.59,1.56,0.369,0.369,60,0,0,0
2009-03-16_01,1237165200,243.71,1.33,0.312,0.312,60,1,0,0
2009-03-16_02,1237168800,244.95,1.26,0.291,0.291,60,2,0,0
2009-03-16_03,1237172400,243.05,1.26,0.299,0.299,60,3,0,0
2009-03-16_04,1237176000,242.34,1.15,0.277,0.277,60,4,0,0
2009-03-16_05,1237179600,242.35,1.11,0.264,0.264,60,5,0,0
2009-03-16_06,1237183200,243.18,6.78,1.637,1.637,60,6,0,0
2009-03-16_07,1237186800,239.5,8.14,1.95,1.95,60,7,0,0
2009-03-16_08,1237190400,240.67,5.6,1.363,1.363,60,8,0,0
2009-03-16_09,1237194000,242.2,5.48,1.351,1.351,60,9,0,0
2009-03-16_10,1237197600,242.72,5.52,1.36,1.36,60,10,0,0
2009-03-16_11,1237201200,241.25,5.62,1.374,1.374,60,11,0,0
2009-03-16_12,1237204800,241.67,5.48,1.352,1.352,60,12,0,0
2009-03-16_13,1237208400,241.67,4.22,1.019,1.019,60,13,0,0
2009-03-16_14,1237212000,243.11,1.09,0.266,0.266,60,14,0,0
2009-03-16_15,1237215600,244.59,1.16,0.278,0.278,60,15,0,0
2009-03-16_16,1237219200,245.41,1.37,0.316,0.316,60,16,0,0
2009-03-16_17,1237222800,243.78,1.25,0.298,0.298,60,17,0,0
2009-03-16_18,1237226400,241.79,1.43,0.319,0.319,60,18,0,0
2009-03-16_19,1237230000,237.58,4.23,0.992,0.992,60,19,0,0
2009-03-16_20,1237233600,240.42,7.07,1.7,1.7,60,20,0,0
2009-03-16_21,1237237200,239.26,11.95,2.869,2.869,60,21,0,0
2009-03-16_22,1237240800,242.14,6.83,1.657,1.657,60,22,0,0
2009-03-16_23,1237244400,245.92,1.59,0.38,0.38,60,23,0,0
2009-03-17_00,1237248000,243.64,1.32,0.302,0.302,60,0,1,0
2009-03-17_01,1237251600,244.41,1.36,0.315,0.315,60,1,1,0
2009-03-17_02,1237255200,244.16,4.03,0.984,0.984,60,2,1,0
2009-03-17_03,1237258800,242.74,1.07,0.264,0.264,60,3,1,0
2009-03-17_04,1237262400,243.27,1.32,0.305,0.305,60,4,1,0
2009-03-17_05,1237266000,241.85,1.15,0.275,0.275,60,5,1,0
2009-03-17_06,1237269600,245.56,2.99,0.687,0.687,60,6,1,0
2009-03-17_07,1237273200,238.97,7.44,1.786,1.786,60,7,1,0
2009-03-17_08,1237276800,237.43,9.16,2.16,2.16,60,8,1,0
2009-03-17_09,1237280400,237.52,6.88,1.612,1.612,60,9,1,0
2009-03-17_10,1237284000,238.74,8.25,1.963,1.963,60,10,1,0
2009-03-17_11,1237287600,239.4,7.52,1.705,1.705,60,11,1,0
2009-03-17_12,1237291200,242.34,6.08,1.469,1.469,60,12,1,0
2009-03-17_13,1237294800,243.65,6.07,1.48,1.48,60,13,1,0
2009-03-17_14,1237298400,245.2,6.3,1.533,1.533,60,14,1,0
2009-03-17_15,1237302000,243.38,6.03,1.469,1.469,60,15,1,0
2009-03-17_16,1237305600,242.62,5.36,1.275,1.275,60,16,1,0
2009-03-17_17,1237309200,243.33,1.87,0.395,0.395,60,17,1,0
2009-03-17_18,1237312800,241.69,1.89,0.41,0.41,60,18,1,0
2009-03-17_19,1237316400,238.18,9.77,2.326,2.326,60,19,1,0
2009-03-17_20,1237320000,239.86,16.28,3.875,3.875,60,20,1,0
2009-03-17_21,1237323600,240.09,11.54,2.736,2.736,60,21,1,0
2009-03-17_22,1237327200,243.02,9.26,2.228,2.228,60,22,1,0
2009-03-17_23,1237330800,245.9,2.65,0.645,0.645,60,23,1,0
2009-03-18_00,1237334400,243.78,1.41,0.322,0.322,60,0,2,0
2009-03-18_01,1237338000,242.92,2.36,0.56,0.56,60,1,2,0
2009-03-18_02,1237341600,244.58,2.94,0.718,0.718,60,2,2,0
2009-03-18_03,1237345200,242.87,1.37,0.315,0.315,60,3,2,0
2009-03-18_04,1237348800,242.08,1.12,0.27,0.27,60,4,2,0
2009-03-18_05,1237352400,242.11,1.32,0.303,0.303,60,5,2,0
2009-03-18_06,1237356000,241.31,4.73,1.126,1.126,60,6,2,0
2009-03-18_07,1237359600,238.93,7.74,1.855,1.855,60,7,2,0
2009-03-18_08,1237363200,239.71,5.72,1.386,1.386,60,8,2,0
2009-03-18_09,1237366800,241.77,5.42,1.339,1.339,60,9,2,0
2009-03-18_10,1237370400,243.72,5.87,1.427,1.427,60,10,2,0
2009-03-18_11,1237374000,242.88,6.18,1.509,1.509,60,11,2,0
2009-03-18_12,1237377600,243.23,6.28,1.536,1.536,60,12,2,0
2009-03-18_13,1237381200,244.4,5.79,1.421,1.421,60,13,2,0
2009-03-18_14,1237384800,245.82,5.7,1.411,1.411,60,14,2,0
2009-03-18_15,1237388400,245.95,3.06,0.728,0.728,60,15,2,0
2009-03-18_16,1237392000,243.05,1.7,0.381,0.381,60,16,2,0
2009-03-18_17,1237395600,242.57,1.82,0.399,0.399,60,17,2,0
2009-03-18_18,1237399200,241.11,1.52,0.338,0.338,60,18,2,0
2009-03-18_19,1237402800,241.36,4.23,1.005,1.005,60,19,2,0
2009-03-18_20,1237406400,241.97,4.27,1.028,1.028,60,20,2,0
2009-03-18_21,1237410000,241.35,10.54,2.547,2.547,60,21,2,0
2009-03-18_22,1237413600,244.18,8.11,1.976,1.976,60,22,2,0
2009-03-18_23,1237417200,246.53,1.15,0.279,0.279,60,23,2,0
2009-03-19_00,1237420800,245.4,1.31,0.311,0.311,60,0,3,0
2009-03-19_01,1237424400,244.68,1.1,0.267,0.267,60,1,3,0
2009-03-19_02,1237428000,246.92,1.3,0.311,0.311,60,2,3,0
2009-03-19_03,1237431600,246.52,1.25,0.29,0.29,60,3,3,0
2009-03-19_04,1237435200,246.1,1.1,0.271,0.271,60,4,3,0
2009-03-19_05,1237438800,244.56,2.05,0.485,0.485,60,5,3,0
2009-03-19_06,1237442400,242.65,5.42,1.284,1.284,60,6,3,0
2009-03-19_07,1237446000,240.88,7.75,1.878,1.878,60,7,3,0
2009-03-19_08,1237449600,239.44,5.6,1.36,1.36,60,8,3,0
2009-03-19_09,1237453200,239.84,5.52,1.339,1.339,60,9,3,0
2009-03-19_10,1237456800,239.31,5.55,1.348,1.348,60,10,3,0
2009-03-19_11,1237460400,239.56,5.43,1.318,1.318,60,11,3,0
2009-03-19_12,1237464000,240.09,5.58,1.355,1.355,60,12,3,0
2009-03-19_13,1237467600,240.75,5.51,1.347,1.347,60,13,3,0
2009-03-19_14,1237471200,242.48,5.51,1.356,1.356,60,14,3,0
2009-03-19_15,1237474800,243.42,1.46,0.339,0.339,60,15,3,0
2009-03-19_16,1237478400,244.06,1.11,0.269,0.269,60,16,3,0
2009-03-19_17,1237482000,243.95,1.25,0.297,0.297,60,17,3,0
2009-03-19_18,1237485600,242.46,1.58,0.38,0.38,60,18,3,0
2009-03-19_19,1237489200,239.59,4.65,1.097,1.097,60,19,3,0
2009-03-19_20,1237492800,242.02,2.78,0.663,0.663,60,20,3,0
2009-03-19_21,1237496400,242.41,2.61,0.632,0.632,60,21,3,0
2009-03-19_22,1237500000,244.16,2.97,0.722,0.722,60,22,3,0
2009-03-19_23,1237503600,245.39,3.81,0.94,0.94,60,23,3,0
2009-03-20_00,1237507200,244.89,4.36,1.066,1.066,60,0,4,0
2009-03-20_01,1237510800,244.12,1.3,0.302,0.302,60,1,4,0
2009-03-20_02,1237514400,244.81,1.17,0.272,0.272,60,2,4,0
2009-03-20_03,1237518000,243.83,1.26,0.298,0.298,60,3,4,0
2009-03-20_04,1237521600,243.19,1.16,0.277,0.277,60,4,4,0
2009-03-20_05,1237525200,243.27,1.23,0.295,0.295,60,5,4,0
2009-03-20_06,1237528800,243.34,2.99,0.695,0.695,60,6,4,0
2009-03-20_07,1237532400,241.35,7.79,1.885,1.885,60,7,4,0
2009-03-20_08,1237536000,241.32,5.74,1.403,1.403,60,8,4,0
2009-03-20_09,1237539600,241.51,5.43,1.337,1.337,60,9,4,0
2009-03-20_10,1237543200,241.31,5.65,1.381,1.381,60,10,4,0
2009-03-20_11,1237546800,241.95,5.46,1.348,1.348,60,11,4,0
2009-03-20_12,1237550400,242.66,5.52,1.361,1.361,60,12,4,0
2009-03-20_13,1237554000,241.78,4.82,1.171,1.171,60,13,4,0
2009-03-20_14,1237557600,244.75,1.69,0.4,0.4,60,14,4,0
2009-03-20_15,1237561200,246.16,1.27,0.303,0.303,60,15,4,0
2009-03-20_16,1237564800,245.65,1.53,0.348,0.348,60,16,4,0
2009-03-20_17,1237568400,241.82,6.14,1.47,1.47,60,17,4,0
2009-03-20_18,1237572000,241.22,1.39,0.322,0.322,60,18,4,0
2009-03-20_19,1237575600,237.47,13.3,3.128,3.128,60,19,4,0
2009-03-20_20,1237579200,239.84,9.31,2.241,2.241,60,20,4,0
2009-03-20_21,1237582800,241.38,6.25,1.52,1.52,60,21,4,0
2009-03-20_22,1237586400,245.32,2.72,0.653,0.653,60,22,4,0
2009-03-20_23,1237590000,247.06,3.77,0.924,0.924,60,23,4,0
2009-03-21_00,1237593600,246.84,1.15,0.28,0.28,60,0,5,1
2009-03-21_01,1237597200,245.56,1.23,0.295,0.295,60,1,5,1
2009-03-21_02,1237600800,246.68,1.08,0.266,0.266,60,2,5,1
2009-03-21_03,1237604400,246.36,1.27,0.301,0.301,60,3,5,1
2009-03-21_04,1237608000,245.61,1.17,0.282,0.282,60,4,5,1
2009-03-21_05,1237611600,244.79,1.12,0.271,0.271,60,5,5,1
2009-03-21_06,1237615200,245.11,1.29,0.306,0.306,60,6,5,1
2009-03-21_07,1237618800,243.48,5.49,1.32,1.32,60,7,5,1
2009-03-21_08,1237622400,241.26,11.41,2.747,2.747,60,8,5,1
2009-03-21_09,1237626000,243.27,6.36,1.545,1.545,60,9,5,1
2009-03-21_10,1237629600,242.37,7.78,1.889,1.889,60,10,5,1
2009-03-21_11,1237633200,242.45,3.02,0.733,0.733,60,11,5,1
2009-03-21_12,1237636800,242.16,4.26,0.984,0.984,60,12,5,1
2009-03-21_13,1237640400,241.79,4.8,1.122,1.122,60,13,5,1
2009-03-21_14,1237644000,244.07,2.35,0.502,0.502,60,14,5,1
